t,log_trend
2014-07-14,11.647677435118236
2014-07-15,11.646863668383713
2014-07-16,11.646449878616242
2014-07-17,11.646370423451357
2014-07-18,11.646353674110301
2014-07-19,11.647374706552831
2014-07-20,11.649406127322967
2014-07-21,11.650177564561334
2014-07-22,11.649705196894441
2014-07-23,11.649106860483059
2014-07-24,11.647866404666212
2014-07-25,11.647523176279208
2014-07-26,11.648257374431825
2014-07-27,11.648920095291034
2014-07-28,11.649903429362377
2014-07-29,11.650727221944727
2014-07-30,11.651252674789399
2014-07-31,11.652022795215972
2014-08-01,11.652897248276252
2014-08-02,11.653955042496788
2014-08-03,11.655269613150724
2014-08-04,11.65669416773658
2014-08-05,11.658271104199498
2014-08-06,11.661159448074933
2014-08-07,11.665453741466251
2014-08-08,11.670641111951984
2014-08-09,11.677038959315151
2014-08-10,11.683980710822356
2014-08-11,11.69144397404559
2014-08-12,11.700033716350365
2014-08-13,11.709616135419138
2014-08-14,11.716160094447776
2014-08-15,11.719423376209663
2014-08-16,11.721269435462997
2014-08-17,11.7205980653239
2014-08-18,11.71990037336775
2014-08-19,11.719300811502311
2014-08-20,11.716565462542103
2014-08-21,11.712171032236483
2014-08-22,11.709819249831316
2014-08-23,11.709563309646304
2014-08-24,11.709940951213621
2014-08-25,11.71188744710054
2014-08-26,11.712616055583196
2014-08-27,11.71196784646707
2014-08-28,11.71211161551786
2014-08-29,11.712440296388877
2014-08-30,11.711011266028951
2014-08-31,11.707872555693108
2014-09-01,11.703502318188965
2014-09-02,11.697386043580941
2014-09-03,11.69118807835571
2014-09-04,11.684938802265322
2014-09-05,11.677337139012424
2014-09-06,11.668698723869651
2014-09-07,11.66284040730254
2014-09-08,11.66003667708651
2014-09-09,11.658733001736719
2014-09-10,11.659997639145512
2014-09-11,11.661238593930873
2014-09-12,11.662362208455438
2014-09-13,11.665599762364456
2014-09-14,11.67043526901129
2014-09-15,11.672390399658333
2014-09-16,11.671357235282162
2014-09-17,11.669150456196686
2014-09-18,11.66459345695229
2014-09-19,11.66091852526808
2014-09-20,11.658311995001124
2014-09-21,11.654140617295951
2014-09-22,11.649084177668605
2014-09-23,11.648457352547219
2014-09-24,11.652475022501303
2014-09-25,11.659078769230677
2014-09-26,11.669622295952651
2014-09-27,11.680358249779005
2014-09-28,11.691157238640995
2014-09-29,11.704988502012354
2014-09-30,11.721042485598803
2014-10-01,11.73271264282187
2014-10-02,11.739898757492483
2014-10-03,11.745326025951213
2014-10-04,11.747318223230742
2014-10-05,11.750413325353946
2014-10-06,11.754816351274492
2014-10-07,11.756815617300491
2014-10-08,11.757346510752315
2014-10-09,11.758580120266664
2014-10-10,11.760234345547879
2014-10-11,11.761865677905604
2014-10-12,11.763917140934092
2014-10-13,11.764131691452949
2014-10-14,11.762394021486486
2014-10-15,11.760146558700933
2014-10-16,11.75685136666513
2014-10-17,11.754819773393669
2014-10-18,11.75439715006835
2014-10-19,11.754073796695389
2014-10-20,11.754513466459526
2014-10-21,11.75469008621836
2014-10-22,11.75446758767681
2014-10-23,11.754932452574215
2014-10-24,11.755860756899985
2014-10-25,11.756040970899672
2014-10-26,11.755520049901676
2014-10-27,11.754736298637733
2014-10-28,11.753409879576585
2014-10-29,11.752513860933034
2014-10-30,11.752116101066246
2014-10-31,11.751512999239315
2014-11-01,11.750930946478121
2014-11-02,11.750393406620965
2014-11-03,11.749837304550933
2014-11-04,11.749423947884285
2014-11-05,11.749151116413874
2014-11-06,11.748850486501512
2014-11-07,11.748545741776356
2014-11-08,11.748323780672004
2014-11-09,11.748159697836229
2014-11-10,11.747908039355313
2014-11-11,11.747565019349228
2014-11-12,11.74718676243726
2014-11-13,11.74673485243528
2014-11-14,11.746333761354096
2014-11-15,11.74599010212312
2014-11-16,11.74560907959103
2014-11-17,11.74521786374545
2014-11-18,11.744938703217239
2014-11-19,11.744773453864049
2014-11-20,11.74468395452525
2014-11-21,11.7447028785246
2014-11-22,11.74473623702514
2014-11-23,11.744782328938841
2014-11-24,11.744917261966979
2014-11-25,11.745122989510463
2014-11-26,11.745349932409976
2014-11-27,11.74560398444851
2014-11-28,11.745898104809836
2014-11-29,11.746222239172011
2014-11-30,11.746628046121671
2014-12-01,11.74711894553882
2014-12-02,11.74766219357546
2014-12-03,11.748270380766328
2014-12-04,11.748884622564807
2014-12-05,11.749497103849063
2014-12-06,11.750145774172212
2014-12-07,11.750814136604259
2014-12-08,11.751529895828169
2014-12-09,11.752296720588795
2014-12-10,11.753086719200795
2014-12-11,11.753906143927335
2014-12-12,11.75449271060378
2014-12-13,11.754815827753378
2014-12-14,11.755002264482272
2014-12-15,11.754974147444845
2014-12-16,11.75487480698537
2014-12-17,11.754708606379134
2014-12-18,11.754331533594058
2014-12-19,11.753767718400995
2014-12-20,11.753465099373232
2014-12-21,11.753443689749275
2014-12-22,11.753502445233892
2014-12-23,11.753758838155912
2014-12-24,11.753908137288283
2014-12-25,11.75393050928014
2014-12-26,11.754077729624557
2014-12-27,11.754284230580954
2014-12-28,11.754334321370111
2014-12-29,11.754238201886794
2014-12-30,11.754053585194054
2014-12-31,11.753728576751202
2015-01-01,11.753451978350437
2015-01-02,11.753230391135808
2015-01-03,11.752926374765293
2015-01-04,11.752580137966286
2015-01-05,11.752122884775822
2015-01-06,11.75153203199132
2015-01-07,11.750867413614351
2015-01-08,11.750104776019624
2015-01-09,11.74924693227632
2015-01-10,11.74829604843976
2015-01-11,11.747227127942045
2015-01-12,11.746038364118423
2015-01-13,11.745177498575858
2015-01-14,11.744683858045283
2015-01-15,11.744343745627422
2015-01-16,11.744283059152153
2015-01-17,11.744235289937036
2015-01-18,11.744186324124726
2015-01-19,11.74438122947986
2015-01-20,11.744768009242028
2015-01-21,11.745301843620659
2015-01-22,11.746016402706053
2015-01-23,11.746904801440577
2015-01-24,11.747970343062066
2015-01-25,11.7493103697054
2015-01-26,11.75093571599651
2015-01-27,11.752809049481911
2015-01-28,11.75495956656126
2015-01-29,11.75655113976527
2015-01-30,11.75750850445311
2015-01-31,11.75825499629036
2015-02-01,11.758557628009623
2015-02-02,11.758900234323814
2015-02-03,11.759314044806281
2015-02-04,11.759351846081662
2015-02-05,11.759110399587342
2015-02-06,11.759101618998315
2015-02-07,11.759309228483007
2015-02-08,11.75954719661698
2015-02-09,11.75993515724513
2015-02-10,11.760052057966167
2015-02-11,11.759869975133876
2015-02-12,11.75969293104336
2015-02-13,11.759423511871777
2015-02-14,11.75926718172519
2015-02-15,11.759273706980267
2015-02-16,11.759273430847896
2015-02-17,11.759330453666239
2015-02-18,11.759394703323213
2015-02-19,11.759452241668594
2015-02-20,11.759585002849658
2015-02-21,11.75978234044387
2015-02-22,11.759890074927956
2015-02-23,11.759908666452255
2015-02-24,11.759906966107259
2015-02-25,11.759848540609127
2015-02-26,11.75984329538135
2015-02-27,11.759901112283892
2015-02-28,11.759938827195473
2015-03-01,11.759982694066322
2015-03-02,11.759775490498411
2015-03-03,11.75928264524907
2015-03-04,11.75864425132745
2015-03-05,11.757783695651128
2015-03-06,11.756830764510456
2015-03-07,11.755792970050752
2015-03-08,11.754535020188413
2015-03-09,11.753079815365409
2015-03-10,11.752080821852944
2015-03-11,11.751582664771243
2015-03-12,11.751289705020339
2015-03-13,11.751381158412403
2015-03-14,11.751439874177647
2015-03-15,11.751443800517691
2015-03-16,11.751758421648436
2015-03-17,11.75229969515247
2015-03-18,11.75252274216817
2015-03-19,11.75242544992771
2015-03-20,11.752214064820066
2015-03-21,11.751751565191144
2015-03-22,11.75145449345086
2015-03-23,11.751345624727781
2015-03-24,11.751102500605265
2015-03-25,11.750815507336501
2015-03-26,11.750716330738985
2015-03-27,11.750790934818667
2015-03-28,11.75099309266757
2015-03-29,11.751379105804086
2015-03-30,11.751733988021478
2015-03-31,11.752054201707987
2015-04-01,11.752495214048798
2015-04-02,11.753013186426358
2015-04-03,11.753270847122126
2015-04-04,11.75325221663526
2015-04-05,11.75308627371983
2015-04-06,11.752680265337704
2015-04-07,11.752271430311309
